id,marine_animal,scientific_name,latitude,longitude,typical_depth,best_months,probability,weather_condition,notes
1,Green sea turtle,Chelonia mydas,25.49256,56.36411,3–20,Oct–May,65,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.
2,Hawksbill sea turtle,Eretmochelys imbricata,25.49256,56.36411,3–20,Oct–May,50,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Often near reefs and coral bommies.
3,Blacktip reef shark,Carcharhinus melanopterus,25.35207,56.37852,5–14,Oct–May,25,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Occasional. Stay near reef edge.
4,Honeycomb moray eel,Gymnothorax favagineus,25.35207,56.37852,6–14,Year-round,55,Sunny: good. Overcast: good. Rain: fair. Windy: fair.,Crevices and boulders. Do not harass.
5,Seahorse (sp.),Hippocampus sp.,25.35194,56.38008,10–19,Oct–May,20,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Needs slow searching near sea pens and sheltered spots.
6,Nudibranch (various),Nudibranchia,25.35194,56.38008,10–19,Year-round,50,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Macro life. Visibility less critical than patience.
7,Eagle ray (spotted),Aetobatus narinari,25.60326,56.35122,5–15,Oct–May,20,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,More likely on calm days with better viz.
8,Mobula ray (devil ray),Mobula sp.,25.60326,56.35122,8–15,Oct–May,15,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Seasonal and unpredictable.
9,Trevally (giant/various),Caranx spp.,25.33553,56.38145,12–19,Oct–May,65,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Schools often patrol pinnacles.
10,Barracuda (great/blackfin),Sphyraena spp.,25.33553,56.38145,12–19,Oct–May,35,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Often mid-water. Look off the reef.
11,Frogfish (sp.),Antennariidae,25.51007,56.37737,22–30,May–Sep,20,Sunny: fair. Overcast: fair. Rain: fair. Windy: poor.,More likely in warmer months on wreck structure.
12,Nudibranch (various),Nudibranchia,25.33838,56.38068,18–21,Year-round,60,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Wreck holds lots of macro life.
13,Clownfish (anemonefish),Amphiprion clarkii (common local),25.35194,56.38008,6–16,Year-round,70,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Stay near anemone patches.
14,Butterflyfish (sp.),Chaetodon spp.,25.33716,56.38068,8–19,Oct–May,55,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,More active with good visibility.
15,Lionfish (red lionfish),Pterois miles,25.49163,56.37437,18–26,Year-round,45,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Often around structure. Night dives increase chances.
16,Octopus (common octopus),Octopus vulgaris (likely),25.60426,56.34982,10–22,Year-round,25,Sunny: good. Overcast: good. Rain: good. Windy: fair.,More likely at dusk or night.
17,Parrotfish (sp.),Scaridae,25.3538,56.38081,12–28,Year-round,60,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Common on healthy reef sections.
18,Whale shark,Rhincodon typus,23.8628,58.10781,5–30,Sep–Nov,35,Sunny: good. Overcast: good. Rain: good. Windy: poor.,Seasonal. Sightings rise with plankton and migration.
19,Hawksbill sea turtle,Eretmochelys imbricata,23.8628,58.10781,5–25,Year-round (peak activity Mar–Jun),75,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Often on reef slopes and around cleaning areas.
20,Green sea turtle,Chelonia mydas,23.8628,58.10781,5–25,Year-round,55,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Common in seagrass and reef edges.
