latitude,longitude,site_name,marine_animal,scientific_name,month,hour_of_day,is_day,is_peak_sun_hours,wave_height,wave_direction,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,sea_level_height_msl,uv_index_max,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,wind_speed_120m,wind_direction_120m,pressure_msl,surface_pressure,typical_depth,animal_probability,best_months,weather_condition,notes,safety_score,verdict,recommended_suit,recommended_spf
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,11,1,1,3.13,173,16.2,0.05,119,0.48,8.4,16.9,43,69,4.0,4.4,8,1018.8,1016.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,34,Unsafe,semi-dry suit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,17,1,0,3.06,230,21.7,0.75,256,0.2,4.6,22.7,41,38,6.0,9.6,35,1023.6,1018.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,39,Unsafe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,11,12,1,1,1.77,161,22.9,0.98,313,0.38,9.7,23.8,74,16,5.7,8.3,9,1007.8,1006.8,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,44,Unsafe,5mm wetsuit,SPF 50+
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,1,7,1,0,0.22,330,16.1,0.11,178,-0.05,2.8,17.5,73,28,1.2,9.1,133,1014.8,1008.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,87,Safe,semi-dry suit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,3,8,1,0,1.72,82,22.3,0.19,357,-0.48,5.2,22.8,90,33,0.6,7.8,90,1006.3,1009.3,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,70,Safe,5mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,18,1,0,1.89,169,17.8,0.79,155,0.39,4.8,17.8,87,33,7.3,8.3,163,1017.6,1002.6,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,51,Unsafe,semi-dry suit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,8,1,0,0.55,1,22.0,0.64,90,0.29,3.3,22.1,40,27,3.1,8.3,73,1019.3,1011.0,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,79,Safe,5mm wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,6,9,1,0,2.49,174,29.8,0.22,119,-0.05,4.4,32.7,67,54,6.6,4.2,246,1019.3,1005.6,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,58,Unsafe,light wetsuit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,7,17,1,0,2.79,193,27.1,1.34,81,0.4,5.7,27.8,49,79,0.7,8.0,244,1010.2,1001.2,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,31,Unsafe,3mm wetsuit,SPF 50
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,12,7,1,0,3.01,186,19.5,0.58,122,-0.29,2.1,20.1,40,18,1.2,10.9,278,1005.5,1008.5,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,42,Unsafe,semi-dry suit,SPF 30
25.49256,56.36411,Snoopy Island,Green sea turtle,Chelonia mydas,4,10,1,1,2.34,315,23.5,1.24,9,0.43,6.5,26.2,56,8,2.9,10.6,21,1020.4,1002.7,3-20,65,Oct-May,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.,40,Unsafe,5mm wetsuit,SPF 50
